Prolific_ID,Dashboard Type,Match 0 Mismatch 1,Dashboard Total Score,Dashboard Efficiency Seconds per correct answer,Paper_Folding_Test_Score,PF Test Percentage,Rotation_Test_1_Total_Correct_Count,Rotation_Test_2_Total_Correct_Count,Total Rotation Test Score,RT Test Percentage,Final SA score,SA High 0 Low 1,Financial_Literacy_Score,Feedback_MentalDemand,Feedback_PhysicalDemand,Feedback_TemporalDemand,Feedback_Performance,Feedback_Effort,Feedback_Frustration,TLX Total,TLX less Physical,Demographics_Age,Demographics_Education_Level,Demographics_Work_Experience,Demographics_Management_Experience,Demographics_Employment_Sector,TIME TAKEN,BONUS,Total payment
66fde9d61fb476db38fe17a2,Mismatch (Structural Columns),1,19,22.105263157894736,16.0,0.8,35,46,81,0.5785714285714286,0.6892857142857143,0,2,75,4,78,50,67,82,356,352,41.0,Undergraduate degree,5-10,Less than one,Social Sciences,00:33:40,1.8,5.8
671c91189c7272293e7fc44f,Mismatch (Structural Columns),1,21,20.0,14.0,0.7,36,46,82,0.5857142857142857,0.6428571428571428,0,3,78,1,79,25,83,36,302,301,47.0,Graduate degree,More than 10,3-5,Information Technology,01:05:53,0.7,4.7
66c7f280d6cde03f250ffded,Mismatch (Structural Columns),1,12,35.0,12.0,0.6,37,49,86,0.6142857142857143,0.6071428571428572,0,3,73,9,88,65,95,61,391,382,28.0,College diploma,5-10,1-3,Marketing and Sales,00:34:32,1.15,5.15
66d36598db306c67c37bde18,Mismatch (Structural Columns),1,21,20.0,12.0,0.6,39,46,85,0.6071428571428571,0.6035714285714285,0,3,55,1,70,10,65,15,216,215,43.0,Undergraduate degree,More than 10,1-3,Marketing and Sales,00:28:19,1.65,5.65
66c8ebb8c2c8d2b4d0424245,Mismatch (Structural Columns),1,21,20.0,12.0,0.6,37,47,84,0.6,0.6,0,2,57,20,26,24,46,25,198,178,37.0,College diploma,More than 10,1-3,Other,00:33:47,1.0,5.0
6700d6aca79c6b2534f6292c,Mismatch (Structural Columns),1,9,46.666666666666664,13.0,0.65,30,46,76,0.5428571428571428,0.5964285714285714,0,3,7,11,14,20,28,11,91,80,31.0,Undergraduate degree,5-10,1-3,Finance,00:57:05,1.1,5.1
66d66c5428ff7103f6411bff,Mismatch (Structural Columns),1,12,35.0,12.0,0.6,31,42,73,0.5214285714285715,0.5607142857142857,0,3,16,2,47,35,30,5,135,133,29.0,Graduate degree,More than 10,5-10,Other,00:42:49,0.85,4.85
6725fcec0e5d1538ef9977af,Mismatch (Structural Columns),1,17,24.705882352941178,10.0,0.5,38,44,82,0.5857142857142857,0.5428571428571429,0,3,87,99,78,100,100,0,464,365,24.0,Graduate degree,3-5,1-3,"Science, Technology, Engineering and Mathematics",00:41:09,0.4,4.4
664644138e5743a320b474c9,Mismatch (Structural Columns),1,8,52.5,10.0,0.5,46,32,78,0.5571428571428572,0.5285714285714286,0,3,68,49,67,63,80,84,411,362,37.0,Undergraduate degree,More than 10,1-3,Other,00:41:47,0.95,4.95
66fb12ba2bfd1e0379ced77c,Mismatch (Structural Columns),1,7,60.0,9.0,0.45,37,46,83,0.5928571428571429,0.5214285714285715,0,1,100,0,0,29,100,68,297,297,31.0,Graduate degree,5-10,3-5,Marketing and Sales,01:11:31,0.85,4.85
60fd6618f9a377f54dcdf318,Mismatch (Structural Columns),1,10,42.0,14.0,0.7,16,31,47,0.3357142857142857,0.5178571428571428,0,3,46,0,34,46,33,28,187,187,45.0,Undergraduate degree,More than 10,3-5,Other,00:35:30,0.55,4.55
60b5e7e55c86e78d28be89ce,Mismatch (Structural Columns),1,18,23.333333333333332,12.0,0.6,30,30,60,0.42857142857142855,0.5142857142857142,0,3,81,49,51,19,59,15,274,225,33.0,Graduate degree,More than 10,1-3,"Science, Technology, Engineering and Mathematics",00:27:16,1.5,5.5
615bb35e52d50aa9a2ae6747,Mismatch (Structural Columns),1,17,24.705882352941178,12.0,0.6,24,35,59,0.42142857142857143,0.5107142857142857,0,2,65,0,50,65,80,0,260,260,53.0,Graduate degree,More than 10,More than 10,Education and Training,00:41:07,0.75,4.75
66fd8c344684de2f546c4ac7,Mismatch (Structural Columns),1,6,70.0,12.0,0.6,34,23,57,0.40714285714285714,0.5035714285714286,0,3,94,89,51,69,89,45,437,348,22.0,Graduate degree,1-3,Less than one,Other,00:30:34,0.8,4.8
